kind,label,g3_alone,g4_alone,g3_add,g4_add,nb,randleg,sig_lnwb_add,sig_lnwc_add,sig_ns_add,sig_lns8_add
pair,rQ1+xrQ1,4.0195,2.4752,15.1005,18.5888,90,1,3.1835e-04,4.6250e-04,5.9031e-03,9.9245e-03
pair,dQ1+xrQ3,2.2233,1.6911,15.0363,22.1186,90,1,2.3161e-04,7.5201e-04,4.8150e-03,8.9019e-03
pair,dQ1+xdQ1,4.3950,4.5230,14.0008,26.3845,90,0,2.8426e-04,6.0434e-04,6.0333e-03,7.4759e-03
pair,dQ3+xrQ1,5.0749,4.9111,13.9327,23.5994,90,1,3.4144e-04,4.4010e-04,6.0370e-03,7.2716e-03
pair,xdQ2+xrQ1,6.3247,5.9989,13.9007,18.8408,90,1,2.9753e-04,4.4924e-04,6.2733e-03,8.8450e-03
pair,dQ2+xrQ1,5.2156,4.1629,13.4139,18.5773,90,1,2.9189e-04,4.7056e-04,5.7840e-03,8.6035e-03
pair,rQ1+xrQ3,2.7968,1.7489,13.2674,18.5880,90,1,2.1796e-04,6.3754e-04,6.2566e-03,8.7478e-03
pair,dQ4+xrQ3,4.3177,5.6701,12.8668,20.6148,90,1,2.1549e-04,7.5076e-04,5.0221e-03,8.5478e-03
pair,dQ2+xdQ1,2.7432,2.3240,12.8392,21.5043,90,0,2.4638e-04,7.0608e-04,4.9310e-03,7.7583e-03
pair,xrQ1+xrQ2,3.0783,2.1073,12.3984,15.2305,90,1,3.2424e-04,5.1678e-04,6.5418e-03,9.7834e-03
pair,xdQ3+xdQ4,3.3152,4.3980,12.2303,23.6025,90,0,2.6377e-04,6.4344e-04,5.0365e-03,6.6952e-03
single,xrQ4,1.5937,1.2936,12.1775,13.4754,60,1,3.8985e-04,9.9930e-04,5.2517e-03,1.1121e-02
pair,rQ3+xrQ1,2.7434,1.9576,11.8934,15.5200,90,1,3.1665e-04,4.6337e-04,6.8124e-03,9.4223e-03
pair,xdQ2+xrQ3,2.6218,2.7440,11.7727,18.5550,90,1,2.1900e-04,8.1869e-04,5.4429e-03,8.8000e-03
pair,xdQ1+xrQ2,3.3063,2.5356,11.6106,15.9771,90,1,2.9261e-04,6.0405e-04,5.9718e-03,9.6175e-03
pair,xdQ1+xdQ2,3.0928,3.4652,11.4311,24.5969,90,0,2.6019e-04,6.5042e-04,5.7583e-03,6.0472e-03
pair,xdQ4+xrQ2,2.8329,3.4259,11.2179,17.8261,90,1,2.6963e-04,6.7072e-04,5.7559e-03,9.2525e-03
pair,xdQ1+xdQ3,4.7409,5.8695,11.0050,22.2652,90,0,2.6756e-04,7.2776e-04,5.3532e-03,6.6669e-03
pair,rQ2+xrQ1,2.6323,1.7229,10.9603,13.5123,90,1,3.4716e-04,5.1577e-04,6.8811e-03,9.7302e-03
pair,rQ1+xdQ1,2.8194,2.0683,10.9338,14.3387,90,1,2.7702e-04,4.9625e-04,7.3582e-03,9.4037e-03
pair,dQ1+xdQ4,3.5404,4.1087,10.8392,23.5111,90,0,2.8088e-04,6.3165e-04,6.3184e-03,7.1350e-03
pair,rQ1+xdQ4,3.7125,4.2428,10.5588,14.9095,90,1,2.7225e-04,5.1244e-04,7.5317e-03,8.9582e-03
pair,dQ4+xdQ3,3.2890,4.4424,10.2824,19.9938,90,0,2.7712e-04,7.3174e-04,5.0464e-03,6.9358e-03
pair,dQ2+xdQ4,3.1267,3.8585,9.9972,14.1577,90,0,2.3947e-04,7.9620e-04,4.9854e-03,9.1587e-03
pair,dQ4+xrQ2,2.9778,3.5305,9.9313,16.2854,90,1,2.7811e-04,7.2707e-04,5.8913e-03,9.3329e-03
pair,dQ1+dQ4,2.7672,2.9630,9.7268,20.3691,90,0,2.9564e-04,7.2709e-04,6.1060e-03,7.5896e-03
pair,dQ1+xrQ2,3.0386,2.0984,9.7018,12.7007,90,1,3.3885e-04,6.7469e-04,6.0311e-03,1.0258e-02
pair,dQ2+xrQ3,1.5432,1.1548,9.6627,15.0405,90,1,2.5192e-04,8.3549e-04,5.4865e-03,8.7197e-03
pair,dQ2+rQ1,1.7862,1.0126,9.6566,13.3092,90,1,2.8210e-04,6.9184e-04,6.2784e-03,9.7980e-03
pair,dQ3+xdQ4,2.1103,2.7742,9.4749,17.3866,90,0,2.7647e-04,7.0588e-04,6.1725e-03,6.8263e-03
pair,dQ1+rQ1,2.1157,1.0824,9.4426,11.9195,90,1,3.0445e-04,5.8508e-04,6.4931e-03,9.9709e-03
pair,dQ4+rQ1,3.1253,3.2549,9.4303,13.9213,90,1,2.7253e-04,5.7993e-04,7.4553e-03,8.8569e-03
pair,xdQ1+xdQ4,4.4320,5.2124,9.3306,18.3323,90,0,2.7198e-04,6.8876e-04,6.7750e-03,6.9941e-03
